date,state,city,address,killed,injured,incident
"February 20, 2016",Mississippi,Iuka,231 Co Rd 201,2,3,http://www.gunviolencearchive.org/incident/508113
"February 20, 2016",Alabama,Bessemer,200 block of Elm Street,1,3,http://www.gunviolencearchive.org/incident/508356
"February 20, 2016",Florida,Orlando,446 S Parramore Ave,0,4,http://www.gunviolencearchive.org/incident/508510
"February 19, 2016",Missouri,Edgerton,4100 block of Buena Vista Road,4,0,http://www.gunviolencearchive.org/incident/590221
"February 19, 2016",California,Vallejo,509 Porter Street,1,3,http://www.gunviolencearchive.org/incident/507998
"February 14, 2016",Texas,Houston,8449 Gulf Freeway,1,3,http://www.gunviolencearchive.org/incident/504879
"February 14, 2016",Alabama,Eutaw (Union),Earnest Friday Road,0,5,http://www.gunviolencearchive.org/incident/505420
"February 13, 2016",Louisiana,Marrero,5425 Lapalco Boulevard,0,4,http://www.gunviolencearchive.org/incident/504996
"February 7, 2016",Mississippi,Pass Christian,Davis Avenue,2,4,http://www.gunviolencearchive.org/incident/501256
"February 7, 2016",Florida,Orlando,7432 Universal Blvd,2,10,http://www.gunviolencearchive.org/incident/501233
"February 7, 2016",New York,Rochester,547 State St,1,7,http://www.gunviolencearchive.org/incident/501168
"February 7, 2016",Illinois,Chicago (Englewood),6500 block of South Green Street,0,4,http://www.gunviolencearchive.org/incident/501349
"February 6, 2016",California,Los Angeles,12800 block of Cook Street,1,3,http://www.gunviolencearchive.org/incident/501267
"February 6, 2016",Florida,Apopka,10th Street,0,4,http://www.gunviolencearchive.org/incident/500629
"February 6, 2016",Florida,Tampa,8123 N Nebraska Ave,2,6,http://www.gunviolencearchive.org/incident/500556
"February 3, 2016",District of Columbia,Washington,1500 block of Butler St. SE,0,4,http://www.gunviolencearchive.org/incident/499422
"January 30, 2016",Arizona,Glendale,67th and Missouri Avenue,3,5,http://www.gunviolencearchive.org/incident/495940
"January 27, 2016",Virginia,Chesapeake,1401 N. George Washington Hwy,6,0,http://www.gunviolencearchive.org/incident/494378
"January 26, 2016",Washington,Seattle,Airport Way S. and S. Atlantic St.,2,3,http://www.gunviolencearchive.org/incident/493536
"January 25, 2016",California,Perris,140 S. D Street,1,4,http://www.gunviolencearchive.org/incident/493085
"January 23, 2016",California,Los Angeles,8105 Avalon Blvd,2,2,http://www.gunviolencearchive.org/incident/491312
"January 17, 2016",Virginia,Ware Neck (Gloucester Courthouse),Ditchley Road and Gill Lane,1,3,http://www.gunviolencearchive.org/incident/486728
"January 11, 2016",Delaware,Wilmington,900 block of Brown Street,1,4,http://www.gunviolencearchive.org/incident/483750
"January 8, 2016",District of Columbia,Washington,1700 East Capitol Street Northeast,0,4,http://www.gunviolencearchive.org/incident/481849
"January 8, 2016",Illinois,Chicago,1500 block of South Kedzie,1,4,http://www.gunviolencearchive.org/incident/481900
"January 7, 2016",Tennessee,Memphis,3800 block of Kerwood Avenue,1,3,http://www.gunviolencearchive.org/incident/481429
"January 6, 2016",Florida,Lakeland,2312 East Magnolia Street,3,1,http://www.gunviolencearchive.org/incident/479613
