date,killed,injured,victims,state,city,address,incident,geolocation,congresional_district,assault_weapon,rifle,handgun_general,handgun_specific
2017-05-26,0,4,4,Florida,Miami,2730 NW 167th St,http://www.gunviolencearchive.org/incident/852676,"25.926, -80.2458",Congressional District: 24,NA,NA,NA,NA
2017-05-21,1,3,4,Iowa,Des Moines,4300 Beaver Dr,http://www.gunviolencearchive.org/incident/848680,"41.6382, -93.6792",Congressional District: 3,NA,NA,NA,NA
2017-05-21,0,4,4,Arizona,Mesa,441 N Val Vista Dr,http://www.gunviolencearchive.org/incident/849215,"33.4242, -111.754",Congressional District: 5,NA,NA,NA,NA
2017-05-20,0,10,10,Pennsylvania,Philadelphia,2100 block of W Huntingdon St,http://www.gunviolencearchive.org/incident/848292,"39.9934, -75.1628",Congressional District: 2,NA,NA,NA,NA
2017-05-16,3,1,4,South Carolina,Ruffin,21785 Lowcountry Hwy,http://www.gunviolencearchive.org/incident/845364,"33.0044, -80.815",Congressional District: 6,NA,NA,NA,NA
2017-05-14,1,6,7,Arkansas,Jonesboro,311 S Main St,http://www.gunviolencearchive.org/incident/843078,"35.8391, -90.705",Congressional District: 1,NA,NA,NA,NA
2017-05-14,0,5,5,Illinois,Dolton,14112 Chicago Road,http://www.gunviolencearchive.org/incident/843045,"41.6385, -87.6076",Congressional District: 2,NA,NA,NA,NA
2017-05-14,0,5,5,Florida,Avon Park,Hal McRae Blvd and Delaney Ave,http://www.gunviolencearchive.org/incident/843172,"27.5847, -81.4981",Congressional District: 17,NA,NA,NA,NA
2017-05-14,0,4,4,Texas,Fort Worth,8600 block of Calmont Ave,http://www.gunviolencearchive.org/incident/843590,"32.7356, -97.4672",Congressional District: 12,NA,NA,NA,NA
2017-05-10,1,3,4,New Jersey,Trenton,300 block of Centre St,http://www.gunviolencearchive.org/incident/840339,"40.2097, -74.7595",Congressional District: 12,NA,NA,NA,NA
2017-05-09,3,1,4,Kansas,Kansas City,1900 block of S. Boeke,http://www.gunviolencearchive.org/incident/839846,"39.0793, -94.6328",Congressional District: 3,NA,NA,NA,NA
2017-05-07,2,8,10,Illinois,Chicago,2600 block of 46th Pl,http://www.gunviolencearchive.org/incident/838272,"41.8102, -87.6356",Congressional District: 7,Assault weapon,AR-15,NA,NA
2017-05-04,1,3,4,Michigan,Flint,600 block of Copeman Boulevard,http://www.gunviolencearchive.org/incident/835961,"43.0286, -83.7113",Congressional District: 5,NA,NA,NA,NA
2017-05-02,1,3,4,Florida,Jacksonville,1566 West 24th Street,http://www.gunviolencearchive.org/incident/834832,"30.3585, -81.6823",Congressional District: 5,NA,NA,NA,NA
2017-05-01,2,3,5,Texas,Dallas,3200 block of Reynolds Ave,http://www.gunviolencearchive.org/incident/833152,"32.7864, -96.7407",Congressional District: 30,Assault weapon,AR-15,NA,NA
2017-04-30,2,6,8,California,San Diego,9080 Judicial Dr,http://www.gunviolencearchive.org/incident/832679,"32.8716, -117.203",Congressional District: 52,NA,NA,NA,NA
2017-04-30,4,1,5,Kansas,Topeka,4104 SW 28th,http://www.gunviolencearchive.org/incident/832528,"39.0161, -95.728",Congressional District: 2,NA,NA,NA,9mm
2017-04-30,0,5,5,Florida,Jacksonville,1200 Ken Knight Dr N,http://www.gunviolencearchive.org/incident/833128,"30.3914, -81.7169",Congressional District: 5,NA,NA,NA,NA
2017-04-30,1,5,6,South Carolina,Loris,268 N Sea Green Rd,http://www.gunviolencearchive.org/incident/832309,"34.1016, -78.9782",Congressional District: 7,NA,NA,NA,NA
2017-04-29,1,3,4,Maryland,Germantown,12800 block of Kitchen House Way,http://www.gunviolencearchive.org/incident/831667,"39.1506, -77.2658",Congressional District: 6,NA,NA,NA,NA
2017-04-29,1,3,4,California,Los Angeles (Boyle Heights),Murchison St and Lancaster Ave,http://www.gunviolencearchive.org/incident/835459,"34.0579, -118.197",Congressional District: 34,NA,NA,NA,NA
2017-04-29,0,5,5,California,Sacramento,3800 block of 26th Avenue,http://www.gunviolencearchive.org/incident/832290,"38.529, -121.466",Congressional District: 6,NA,NA,NA,NA
2017-04-29,1,5,6,California,Whittier,10000 block of Carmentia Rd,http://www.gunviolencearchive.org/incident/831800,"33.9442, -118.046",Congressional District: 38,NA,NA,NA,NA
2017-04-29,0,4,4,California,Compton,2000 Block of N Nestor Ave,http://www.gunviolencearchive.org/incident/834788,"33.9029, -118.249",Congressional District: 44,NA,NA,NA,NA
2017-04-29,0,4,4,Virginia,Virginia Beach,200 block of 18th St,http://www.gunviolencearchive.org/incident/832063,"36.8463, -75.9745",Congressional District: 2,NA,NA,NA,NA
2017-04-28,0,4,4,Pennsylvania,Chester,5 E 21st St,http://www.gunviolencearchive.org/incident/831201,"39.8635, -75.367",Congressional District: 1,NA,NA,NA,NA
2017-04-27,1,3,4,New Jersey,Newark,1100 block of S Orange Ave,http://www.gunviolencearchive.org/incident/830984,"40.7456, -74.2344",Congressional District: 10,NA,NA,NA,NA
2017-04-26,0,4,4,Florida,Miami,SW 264th St and 139th Ave,http://www.gunviolencearchive.org/incident/829073,"25.5218, -80.4167",Congressional District: 27,NA,NA,Handgun,NA
2017-04-21,2,2,4,Florida,Palm Bay,2500 block of Vernon Dr,http://www.gunviolencearchive.org/incident/825694,"28.0583, -80.5947",Congressional District: 8,NA,NA,Handgun,NA
2017-04-20,0,4,4,Kentucky,Louisville,700 block of East Jacob Street,http://www.gunviolencearchive.org/incident/825111,"38.243, -85.7419",Congressional District: 3,NA,NA,NA,NA
2017-04-16,0,4,4,California,Vallejo,110 Calhoun Street,http://www.gunviolencearchive.org/incident/821667,"38.1208, -122.267",Congressional District: 5,NA,NA,NA,NA
2017-04-16,0,4,4,North Carolina,Elizabeth City,611 S Martin St,http://www.gunviolencearchive.org/incident/821723,"36.2918, -76.2209",Congressional District: 1,NA,NA,NA,NA
2017-04-16,0,9,9,Ohio,Columbus,1710 Cleveland Av,http://www.gunviolencearchive.org/incident/821371,"40.0008, -82.9753",Congressional District: 3,NA,NA,NA,NA
2017-04-15,0,4,4,Illinois,Rock Falls,311 W 2nd St,http://www.gunviolencearchive.org/incident/821640,"41.7805, -89.6948",Congressional District: 17,NA,NA,Handgun,NA
2017-04-15,0,4,4,Indiana,Indianapolis,300 block of S Meridian St,http://www.gunviolencearchive.org/incident/820565,"39.7623, -86.1583",Congressional District: 7,NA,NA,handgun,NA
2017-04-15,0,6,6,Alabama,Birmingham,1480 Center Point Pkwy,http://www.gunviolencearchive.org/incident/821400,"33.624, -86.6856",Congressional District: 7,NA,NA,NA,NA
2017-04-15,0,4,4,Pennsylvania,Philadelphia,5900 block of Hammond Street,http://www.gunviolencearchive.org/incident/821055,"40.0394, -75.1168",Congressional District: 13,NA,NA,NA,NA
2017-04-15,0,4,4,Illinois,Harvey,14600 block of Myrtle Avenue,http://www.gunviolencearchive.org/incident/821651,"41.6243, -87.6527",Congressional District: 2,NA,NA,NA,NA
2017-04-15,0,4,4,California,Banning,900 block of N Allen St,http://www.gunviolencearchive.org/incident/822750,"33.9335, -116.862",Congressional District: 36,NA,NA,NA,NA
2017-04-13,1,3,4,Georgia,Atlanta,30 Anderson Ave SW,http://www.gunviolencearchive.org/incident/818932,"33.7536, -84.446",Congressional District: 5,NA,NA,NA,NA
2017-04-09,1,3,4,Texas,San Antonio,3100 block of Fidelia Drive,http://www.gunviolencearchive.org/incident/815227,"29.469, -98.5285",Congressional District: 20,NA,NA,NA,NA
2017-04-09,1,3,4,Indiana,Fort Wayne,9439 Lima Rd,http://www.gunviolencearchive.org/incident/815246,"41.1688, -85.166",Congressional District: 3,NA,NA,NA,NA
2017-04-07,3,1,4,North Carolina,Hickory,1423 29th Ave Dr NE,http://www.gunviolencearchive.org/incident/813877,"35.7659, -81.3056",Congressional District: 5,NA,NA,NA,NA
2017-04-07,5,0,5,Texas,Houston,3829 Mount Pleasant St,http://www.gunviolencearchive.org/incident/813821,"29.6858, -95.3668",Congressional District: 18,NA,NA,NA,NA
2017-04-07,4,1,5,Minnesota,Saint Paul,1600 block of English St,http://www.gunviolencearchive.org/incident/813943,"44.9896, -93.0457",Congressional District: 4,NA,NA,NA,NA
2017-04-07,1,5,6,Illinois,Chicago,5600 block of W Lake St,http://www.gunviolencearchive.org/incident/814094,"41.8877, -87.7658",Congressional District: 7,NA,NA,NA,NA
2017-04-06,1,3,4,Louisiana,Lake Charles,2000 block of Tulip St,http://www.gunviolencearchive.org/incident/813028,"30.2112, -93.193",Congressional District: 3,Assault weapon,AR-15,NA,9mm
2017-04-03,3,1,4,Pennsylvania,Philadelphia,1100 block of W Stiles St,http://www.gunviolencearchive.org/incident/810756,"39.9717, -75.154",Congressional District: 1,NA,NA,NA,NA
2017-04-03,0,7,7,Texas,Lubbock,5401 Ave Q,http://www.gunviolencearchive.org/incident/811089,"33.5453, -101.853",Congressional District: 19,NA,NA,Handgun,NA
2017-04-02,2,4,6,Illinois,Chicago,3500 block of West Van Buren Street,http://www.gunviolencearchive.org/incident/809978,"41.8757, -87.7131",Congressional District: 7,NA,NA,NA,NA
2017-04-02,0,5,5,Iowa,Des Moines,2500 Martin Luther King Jr. Parkway,http://www.gunviolencearchive.org/incident/809683,"41.6163, -93.6469",Congressional District: 3,NA,NA,NA,NA
2017-04-01,0,5,5,California,Pittsburg,100 block of Madoline Street,http://www.gunviolencearchive.org/incident/809815,"38.0053, -121.895",Congressional District: 11,NA,NA,NA,NA
2017-04-01,1,4,5,Florida,Tampa,219 S Howard Ave,http://www.gunviolencearchive.org/incident/809048,"27.9431, -82.4831",Congressional District: 14,NA,NA,NA,NA
2017-04-01,2,3,5,Oklahoma,Oklahoma City,1200 block of N Woodward Avenue,http://www.gunviolencearchive.org/incident/809499,"35.5204, -97.5754",Congressional District: 5,NA,NA,NA,NA
2017-03-30,4,0,4,Illinois,Chicago,2704 E 75th St,http://www.gunviolencearchive.org/incident/807618,"41.7601, -87.5583",Congressional District: 2,NA,NA,NA,NA
