date,state,city,killed,injured,incident,victims,geolocation,congresional_district,assault_weapon,rifle,handgun_general,handgun_specific
2013-08-02,Indiana,Indianapolis,0,4,http://www.gunviolencearchive.org/incident/491438,4,"39.8679, -86.1461",Congressional District: 5,NA,NA,NA,NA
2013-08-02,New Jersey,Newark,2,3,http://www.gunviolencearchive.org/incident/491416,5,"40.7291, -74.1915",Congressional District: 10,NA,NA,NA,NA
2013-07-30,New Mexico,Hobbs,0,4,http://www.gunviolencearchive.org/incident/491292,4,"32.7222, -103.179",Congressional District: 2,NA,NA,NA,NA
2013-07-29,Washington,Granger,0,4,http://www.gunviolencearchive.org/incident/491281,4,"46.3421, -120.187",Congressional District: 4,NA,NA,NA,NA
2013-07-26,Florida,Hialeah,7,0,http://www.gunviolencearchive.org/incident/491265,7,"25.864, -80.3122",Congressional District: 25,NA,NA,NA,9mm
2013-07-26,West Virginia,Clarksburg,4,0,http://www.gunviolencearchive.org/incident/491253,4,"39.2832, -80.3488",Congressional District: 1,NA,NA,Handgun,NA
2013-07-25,Michigan,Inkster,0,4,http://www.gunviolencearchive.org/incident/491243,4,"42.3031, -83.3301",Congressional District: 13,NA,NA,NA,NA
2013-07-24,Kansas,Topeka,0,4,http://www.gunviolencearchive.org/incident/491226,4,"39.0527, -95.6546",Congressional District: 2,NA,NA,NA,NA
2013-07-21,New York,Brooklyn,0,4,http://www.gunviolencearchive.org/incident/491214,4,"40.6699, -73.9293",Congressional District: 9,NA,NA,NA,NA
2013-07-20,New York,Brooklyn,0,5,http://www.gunviolencearchive.org/incident/491181,5,"40.6962, -73.9178",Congressional District: 7,NA,NA,NA,9mm
2013-07-19,Connecticut,Hartford,0,4,http://www.gunviolencearchive.org/incident/491082,4,"41.7957, -72.6635",Congressional District: 1,NA,NA,NA,NA
2013-07-19,California,Madera,0,4,http://www.gunviolencearchive.org/incident/491073,4,"36.9613, -120.061",Congressional District: 16,NA,NA,NA,NA
2013-07-17,California,Oakland,1,3,http://www.gunviolencearchive.org/incident/491046,4,"37.7976, -122.212",Congressional District: 13,NA,NA,NA,NA
2013-07-14,Kansas,Wichita,1,4,http://www.gunviolencearchive.org/incident/491001,5,"37.7044, -97.3289",Congressional District: 4,NA,NA,NA,NA
2013-07-14,Michigan,Grand Rapids (Kentwood),0,5,http://www.gunviolencearchive.org/incident/491037,5,"42.874, -85.6052",Congressional District: 2,NA,NA,NA,NA
2013-07-13,Ohio,Campbell,0,4,http://www.gunviolencearchive.org/incident/491162,4,"41.0738, -80.5997",Congressional District: 13,NA,NA,NA,NA
2013-07-13,District of Columbia,Washington,0,4,http://www.gunviolencearchive.org/incident/490979,4,"38.8583, -76.9883",Congressional District: 1,NA,NA,NA,NA
2013-07-13,Oklahoma,Oklahoma City,1,3,http://www.gunviolencearchive.org/incident/490963,4,"35.5263, -97.504",Congressional District: 5,NA,NA,NA,NA
2013-07-13,New Jersey,Trenton (Hamilton Township),1,4,http://www.gunviolencearchive.org/incident/490932,5,"40.1981, -74.7491",Congressional District: 4,NA,NA,NA,NA
2013-07-12,Kentucky,Greensburg,2,2,http://www.gunviolencearchive.org/incident/490954,4,"37.1948, -85.5219",Congressional District: 2,NA,NA,NA,22 LR
2013-07-12,California,San Francisco,1,3,http://www.gunviolencearchive.org/incident/490943,4,"37.7649, -122.423",Congressional District: 12,NA,NA,Handgun,NA
2013-07-11,North Carolina,Charlotte,2,2,http://www.gunviolencearchive.org/incident/490922,4,"35.2837, -80.7742",Congressional District: 12,NA,NA,NA,NA
2013-07-09,Illinois,Rockford,2,2,http://www.gunviolencearchive.org/incident/490917,4,"42.2783, -89.0953",Congressional District: 17,NA,NA,NA,NA
2013-07-09,Maryland,Baltimore,0,4,http://www.gunviolencearchive.org/incident/490909,4,"39.2956, -76.6374",Congressional District: 7,NA,NA,NA,NA
2013-07-07,Florida,Pompano Beach,1,3,http://www.gunviolencearchive.org/incident/490793,4,"26.2489, -80.1352",Congressional District: 20,NA,NA,NA,NA
2013-07-07,California,Stockton,1,4,http://www.gunviolencearchive.org/incident/490893,5,"37.9218, -121.298",Congressional District: 9,NA,NA,NA,NA
2013-07-07,Mississippi,Meridian,0,4,http://www.gunviolencearchive.org/incident/490767,4,"32.3625, -88.7022",Congressional District: 3,NA,NA,handgun,NA
2013-07-07,Illinois,Chicago,0,5,http://www.gunviolencearchive.org/incident/490772,5,"41.689, -87.6157",Congressional District: 2,NA,NA,NA,38 Spl
