date,state,city,killed,injured,incident,victims
2013-04-28,Pennsylvania,Chester,1,3,http://www.gunviolencearchive.org/incident/485885,4
2013-04-28,North Carolina,Charlotte,0,5,http://www.gunviolencearchive.org/incident/485874,5
2013-04-27,Florida,Williston,1,3,http://www.gunviolencearchive.org/incident/485821,4
2013-04-25,Ohio,Oberlin,0,4,http://www.gunviolencearchive.org/incident/489185,4
2013-04-24,Illinois,Manchester,6,1,http://www.gunviolencearchive.org/incident/485811,7
2013-04-22,Louisiana,Harvey,0,5,http://www.gunviolencearchive.org/incident/485746,5
2013-04-22,Illinois,Chicago (Englewood),0,4,http://www.gunviolencearchive.org/incident/484351,4
2013-04-21,Washington,Federal Way,5,0,http://www.gunviolencearchive.org/incident/484333,5
2013-04-18,Ohio,Akron,4,0,http://www.gunviolencearchive.org/incident/484317,4
2013-04-14,Arizona,Phoenix,2,4,http://www.gunviolencearchive.org/incident/484307,6
2013-04-14,Kentucky,Lexington,1,4,http://www.gunviolencearchive.org/incident/484287,5
2013-04-10,California,Vallejo,0,4,http://www.gunviolencearchive.org/incident/484279,4
2013-04-09,Pennsylvania,Philadelphia,1,3,http://www.gunviolencearchive.org/incident/484268,4
2013-04-07,California,Long Beach,1,3,http://www.gunviolencearchive.org/incident/483878,4
2013-04-07,New York,New York (Manhattan),1,3,http://www.gunviolencearchive.org/incident/483872,4
2013-04-06,South Carolina,Greenwood,1,4,http://www.gunviolencearchive.org/incident/483861,5
2013-03-31,Washington,Auburn,3,2,http://www.gunviolencearchive.org/incident/483817,5
2013-03-30,California,Merced (county),3,2,http://www.gunviolencearchive.org/incident/483835,5
2013-03-22,New York,Brooklyn,1,3,http://www.gunviolencearchive.org/incident/483788,4
2013-03-21,Missouri,Kansas City,1,3,http://www.gunviolencearchive.org/incident/483765,4
2013-03-21,Illinois,Chicago,0,7,http://www.gunviolencearchive.org/incident/483737,7
2013-03-17,Florida,Belle Glade,0,5,http://www.gunviolencearchive.org/incident/482942,5
2013-03-17,California,Stockton,2,3,http://www.gunviolencearchive.org/incident/482934,5
2013-03-16,California,Galt,0,7,http://www.gunviolencearchive.org/incident/482926,7
2013-03-14,California,Modesto,0,4,http://www.gunviolencearchive.org/incident/482838,4
2013-03-13,New York,Mohawk,6,2,http://www.gunviolencearchive.org/incident/482856,8
2013-03-13,California,Oceanside,2,2,http://www.gunviolencearchive.org/incident/482801,4
2013-03-11,District of Columbia,Washington,0,13,http://www.gunviolencearchive.org/incident/482771,13
2013-03-10,Missouri,Kansas City,0,5,http://www.gunviolencearchive.org/incident/481237,5
